Name,Primary Field / Focus,Core Motivation / Conflict,Top 3 Character Traits (Simple),Famous Quote,Color
Tuula Teeri,Biotechnology/Leadership,Advancing Bioeconomy Research,Strategic / Visionary / Grounded,"Innovation is the path from ideas to impact.",#B2E3B6
Lynn Margulis,Biology/Theory,Proposing Symbiosis as Evolutionary Force,Radical / Brilliant / Fearless,"Life did not take over the globe by combat but by networking.",#B2E3B6
Fe del Mundo,Pediatrics/Service,Founding the First Pediatric Hospital,Kind / Visionary / Tireless,"The rewards of service are beyond measure.",#B2E3B6
Chandralekha,Science/Art,Combining Science and Dance,Creative / Analytical / Bold,"Science and art are both forms of inquiry.",#B2E3B6
Maria Montessori,Education/Innovation,Creating Child-Centered Learning,Observant / Gentle / Visionary,"Free the child's potential and you will transform the world.",#B2E3B6
Ruth Benerito,Chemistry/Textiles,Inventing Wrinkle-Free Cotton,Inventive / Practical / Persistent,"Do something useful with your talents.",#B2E3B6
Mary Leakey,Anthropology/Discovery,Unearthing Human Origins,Adventurous / Methodical / Persistent,"The past is never dead. It is not even past.",#B2E3B6
Shirley Ann Jackson,Physics/Leadership,Bridging Science and Policy,Smart / Visionary / Disciplined,"Science can drive social progress if guided with purpose.",#B2E3B6
Oprah Winfrey,Media / Empowerment,Overcoming poverty and trauma to inspire others,Resilient / Charismatic / Empathetic,"Turn your wounds into wisdom.",#FFD3B6
Malala Yousafzai,Education / Activism,Fighting for girls’ right to education,Brave / Intelligent / Determined,"One child/ one teacher/ one book/ one pen can change the world.",#FFD3B6
Greta Thunberg,Climate Activism,Challenging global leaders for environmental action,Passionate / Fearless / Persistent,"I want you to act as if the house is on fire/ because it is.",#FFD3B6
Serena Williams,Sports / Empowerment,Breaking barriers in tennis and gender equality,Strong / Confident / Tenacious,"I don’t like to lose — at anything — yet I’ve grown most from losses.",#FFD3B6
Beyoncé,Music / Creativity,Expressing identity and power through art,Powerful / Creative / Disciplined,"Power’s not given to you. You have to take it.",#FFD3B6
Emma Watson,Acting / Feminism,Balancing fame with advocacy for gender equality,Intelligent / Grounded / Articulate,"Both men and women should feel free to be sensitive. Both men and women should feel free to be strong.",#FFD3B6
Sheryl Sandberg,Business / Leadership,Advocating for women in corporate spaces,Strategic / Motivational / Ambitious,"What would you do if you weren’t afraid?",#FFD3B6
Michelle Obama,Leadership / Education,Using influence for youth and women empowerment,Compassionate / Grounded / Inspiring,"When they go low/ we go high.",#FFD3B6
Rihanna,Entrepreneurship / Creativity,Creating inclusive beauty and fashion brands,Bold / Visionary / Authentic,"There’s something so special about a woman who dominates in a man’s world.",#FFD3B6
Marie Kondo,Organization / Simplicity,Helping others find joy through decluttering,Calm / Focused / Uplifting,"The question of what you want to own is actually the question of how you want to live your life.",#FFD3B6
Zendaya,Acting / Representation,Redefining modern beauty and diversity in media,Confident / Grounded / Inspirational,"There is no definition of beauty/ but when you can see someone’s spirit shining through/ that’s beautiful.",#FFD3B6
Melinda Gates,Philanthropy / Equality,Fighting for global healthcare and women’s empowerment,Generous / Strategic / Kind,"A woman with a voice is by definition a strong woman.",#FFD3B6
Indra Nooyi,Business / Leadership,Navigating success while balancing family and career,Intelligent / Visionary / Balanced,"Leadership is hard to define/ and good leadership even harder.",#FFD3B6
Gitanjali Rao,Innovation / STEM,Inspiring youth through invention and creativity,Curious / Determined / Inspiring,"Science is not something to be afraid of; it’s something to explore.",#FFD3B6
Taylor Swift,Music / Storytelling,Transforming personal struggles into creative expression,Articulate / Resilient / Honest,"Just be yourself/ there is no one better.",#FFD3B6
Kylie Jenner,Business / Influence,Building an empire from digital culture,Ambitious / Strategic / Fearless,"Love is the most powerful thing we have.",#FFD3B6
Priyanka Chopra,Acting / Global Impact,Breaking cultural boundaries internationally,Dynamic / Confident / Versatile,"You can’t half-ass anything; you have to always be full-assed.",#FFD3B6
Emma González,Activism / Courage,Advocating against gun violence,Bold / Passionate / Fearless,"We call BS!",#FFD3B6
Kamala Harris,Politics / Justice,Breaking political and racial barriers,Determined / Poised / Inspirational,"I may be the first woman in this office/ but I won’t be the last.",#FFD3B6
Alexandria Ocasio-Cortez,Politics / Activism,Representing marginalized communities,Outspoken / Visionary / Grounded,"I am not going to compromise who I am.",#FFD3B6
Deepika Padukone,Acting / Mental Health,Advocating for mental wellness awareness,Elegant / Brave / Open,"Every day is a fight; you just have to keep going.",#FFD3B6
Billie Eilish,Music / Authenticity,Redefining artistic individuality and vulnerability,Honest / Rebellious / Unique,"I don’t need to worry about what people think of me.",#FFD3B6
Huda Kattan,Beauty / Entrepreneurship,Building a global beauty brand from scratch,Ambitious / Creative / Bold,"Don’t let anyone tell you you can’t make it.",#FFD3B6
Ava DuVernay,Film / Storytelling,Championing Black voices through film,Visionary / Brave / Compassionate,"If your dream only includes you/ it’s too small.",#FFD3B6
Reshma Saujani,Leadership / Tech,Encouraging girls to code and lead,Bold / Empathetic / Driven,"Teach girls bravery/ not perfection.",#FFD3B6
Naomi Osaka,Sports / Advocacy,Balancing fame with mental health,Calm / Focused / Courageous,"It’s okay not to be okay.",#FFD3B6
Florence Pugh,Acting / Authenticity,Standing up for individuality in Hollywood,Grounded / Fierce / Confident,"Don’t be scared of the big moments.",#FFD3B6
Zendaya,Acting / Representation,Inspiring inclusivity in entertainment,Stylish / Thoughtful / Grounded,"Don’t try to fit in when you were born to stand out.",#FFD3B6
Dua Lipa,Music / Independence,Building confidence through self-expression,Stylish / Ambitious / Independent,"Be the one to make a difference.",#FFD3B6
Dolly Parton,Music / Kindness,Staying humble and empowering others,Humble / Funny / Talented,"Find out who you are and do it on purpose.",#FFD3B6
Amelia Earhart,Aviation / Exploration,Defying gender norms to conquer the skies,Brave / Adventurous / Determined,"The most effective way to do it, is to do it.",#C3E0E5
Valentina Tereshkova,Space Exploration / Science,Becoming the first woman in space against all odds,Courageous / Pioneering / Humble,"Hey sky, take off your hat, I’m on my way!",#C3E0E5
Junko Tabei,Mountaineering / Exploration,Becoming the first woman to summit Mount Everest,Resilient / Fearless / Inspirational,"Do not give up. Keep on your quest.",#C3E0E5
Florence Griffith Joyner,Athletics / Sprinting,Setting records while embracing individuality,Fast / Fierce / Stylish,"I don’t look at myself as a sprinter. I look at myself as an entertainer.",#C3E0E5
Wilma Rudolph,Athletics / Perseverance,Overcoming polio to become an Olympic champion,Determined / Graceful / Inspirational,"Never underestimate the power of dreams and the influence of the human spirit.",#C3E0E5
Simone Biles,Gymnastics / Excellence,Pushing boundaries while advocating for mental health,Strong / Honest / Focused,"I’m not the next Usain Bolt or Michael Phelps, I’m the first Simone Biles.",#C3E0E5
Serena Williams,Tennis / Empowerment,Redefining strength and persistence in women’s sports,Confident / Powerful / Resilient,"Luck has nothing to do with it.",#C3E0E5
Mia Hamm,Football / Leadership,Elevating women’s soccer on the global stage,Team-Oriented / Determined / Passionate,"Somewhere behind the athlete you’ve become is the little girl who fell in love with the game.",#C3E0E5
Nadia Comăneci,Gymnastics / Perfection,Achieving the first perfect 10 in Olympic history,Disciplined / Graceful / Visionary,"Hard work has made it easy. That is my secret.",#C3E0E5
Martina Navratilova,Tennis / Activism,Challenging norms in sport and identity,Strong / Fearless / Unapologetic,"The moment of victory is much too short to live for that and nothing else.",#C3E0E5
Jackie Joyner-Kersee,Athletics / Motivation,Excelling across multiple Olympic disciplines,Determined / Powerful / Persistent,"Age is no barrier. It’s a limitation you put on your mind.",#C3E0E5
Chloe Kim,Snowboarding / Youth Empowerment,Redefining what young women can achieve in sports,Playful / Fearless / Confident,"Do what makes you happy.",#C3E0E5
Alex Morgan,Football / Advocacy,Fighting for pay equity in sports,Focused / Driven / Bold,"Dream big because dreams do happen.",#C3E0E5
Lindsey Vonn,Skiing / Perseverance,Overcoming injuries to stay on top of her sport,Tenacious / Passionate / Gritty,"You’re always going to have challenges, and instead of being bitter, you should learn.",#C3E0E5
Bethany Hamilton,Surfing / Courage,Returning to surfing after a shark attack,Brave / Resilient / Optimistic,"Courage, sacrifice, determination, commitment, toughness, heart, talent, guts.",#C3E0E5
Gertrude Ederle,Swimming / Pioneering,Becoming the first woman to swim the English Channel,Strong / Determined / Pioneering,"I just knew if it could be done, it had to be done, and I did it.",#C3E0E5
Ellen MacArthur,Sailing / Exploration,Becoming the fastest solo sailor to circumnavigate the globe,Independent / Gritty / Focused,"If you’re scared of failure, you’ll never achieve anything.",#C3E0E5
Diana Nyad,Swimming / Endurance,Swimming from Cuba to Florida at age 64,Relentless / Brave / Inspirational,"Never, ever give up.",#C3E0E5
Beryl Markham,Aviation / Exploration,Becoming the first woman to fly solo across the Atlantic east-to-west,Bold / Adventurous / Independent,"I fly because it releases my mind from the tyranny of petty things.",#C3E0E5
Lydia Ko,Golf / Precision,Becoming one of the youngest golf champions,Calm / Patient / Skilled,"You can’t always control the situation, but you can control your attitude.",#C3E0E5
Ronda Rousey,MMA / Resilience,Becoming the first female UFC champion,Fierce / Confident / Relentless,"Don’t be a do-nothing bitch.",#C3E0E5
Katie Ledecky,Swimming / Discipline,Constantly striving to outperform herself,Focused / Calm / Unyielding,"I just do what I love, and that’s swimming.",#C3E0E5
Misty Copeland,Ballet / Representation,Becoming the first Black principal dancer at ABT,Graceful / Tenacious / Groundbreaking,"You can start late, look different, be uncertain, and still succeed.",#C3E0E5
Alexia Putellas,Football / Legacy,Leading a new generation in women’s football,Leader / Resilient / Passionate,"We are the future, and the future is now.",#C3E0E5
Eileen Gu,Skiing / Representation,Bridging cultures through sport,Ambitious / Talented / Fearless,"I hope to inspire girls to break boundaries.",#C3E0E5
Sania Mirza,Tennis / Breaking Barriers,Representing Indian women on global courts,Confident / Determined / Inspiring,"If you don’t believe in yourself, no one else will.",#C3E0E5
P.V. Sindhu,Badminton / Perseverance,Achieving Olympic glory for India,Disciplined / Focused / Powerful,"Never give up until the last point.",#C3E0E5
Mary Kom,Boxing / Grit,Overcoming societal barriers to become a world champion,Fearless / Humble / Strong,"Don’t let anyone tell you you can’t.",#C3E0E5
Tenzing Norgay’s Daughter,Nepalese Heritage / Mountaineering,Carrying forward her father’s legacy in exploration,Strong / Proud / Adventurous,"Mountains are in my blood.",#C3E0E5
Nirmal Purja’s Team Women Members,Mountaineering / Unity,Climbing 14 peaks as part of a record-breaking mission,Focused / Brave / Resilient,"Nothing is impossible when you believe.",#C3E0E5
Ruth Bader Ginsburg,Law/Justice,Advocating gender equality and fair representation,Brave / Intelligent / Determined,"Women belong in all places where decisions are being made.",#E6E6FA
Sandra Day O Connor,Law/Leadership,Breaking barriers in the Supreme Court,Pragmatic / Courageous / Wise,"The power I exert on the court depends on the power of my arguments not on my gender.",#E6E6FA
Indira Gandhi,Politics/Leadership,Leading a diverse nation through turmoil,Resilient / Strategic / Fearless,"You cannot shake hands with a clenched fist.",#E6E6FA
Margaret Thatcher,Politics/Conservatism,Defining strong governance amidst resistance,Assertive / Resolute / Visionary,"Being powerful is like being a lady. If you have to tell people you are you aren’t.",#E6E6FA
Michelle Obama,Politics/Empowerment,Promoting education and equality,Empathetic / Inspiring / Grounded,"When they go low we go high.",#E6E6FA
Kamala Harris,Politics/Representation,Challenging systemic barriers and stereotypes,Confident / Charismatic / Steadfast,"My mother would look at me and say Kamala you may be the first to do many things but make sure you’re not the last.",#E6E6FA
Angela Merkel,Politics/Leadership,Guiding Europe through crises with diplomacy,Disciplined / Calm / Rational,"Always be more than you appear and never appear to be more than you are.",#E6E6FA
Benazir Bhutto,Politics/Democracy,Advocating democracy under threat,Brave / Charismatic / Hopeful,"Democracy is the best revenge.",#E6E6FA
Jacinda Ardern,Politics/Compassion,Leading with empathy and inclusivity,Kind / Decisive / Authentic,"One of the criticisms I’ve faced over the years is that I’m not aggressive enough or assertive enough or maybe somehow because I’m empathetic it means I’m weak. I totally rebel against that.",#E6E6FA
Malala Yousafzai,Activism/Education,Fighting for girls’ right to education,Brave / Hopeful / Inspiring,"One child one teacher one book one pen can change the world.",#E6E6FA
Greta Thunberg,Activism/Climate,Challenging inaction on global climate change,Determined / Bold / Fearless,"I have learned you are never too small to make a difference.",#E6E6FA
Rosa Parks,Activism/Civil Rights,Standing up against racial injustice,Strong / Courageous / Dignified,"You must never be fearful about what you are doing when it is right.",#E6E6FA
Eleanor Roosevelt,Activism/Human Rights,Promoting equality and humanitarian causes,Empathetic / Bold / Wise,"No one can make you feel inferior without your consent.",#E6E6FA
Emmeline Pankhurst,Activism/Women’s Rights,Fighting for women’s suffrage,Relentless / Passionate / Strategic,"We are here not because we are law-breakers we are here in our efforts to become law-makers.",#E6E6FA
Gloria Steinem,Activism/Feminism,Challenging gender roles and inequality,Independent / Fearless / Visionary,"The truth will set you free but first it will piss you off.",#E6E6FA
Harriet Tubman,Activism/Freedom,Escaping slavery and rescuing others,Heroic / Resilient / Selfless,"I never ran my train off the track and I never lost a passenger.",#E6E6FA
Sojourner Truth,Activism/Women’s Rights,Speaking against slavery and inequality,Powerful / Passionate / Wise,"Ain’t I a woman?",#E6E6FA
Michelle Bachelet,Politics/Leadership,Restoring democracy and advancing women’s rights,Determined / Just / Visionary,"For me a better democracy is a democracy where women do not only have the right to vote and to elect but to be elected.",#E6E6FA
Aung San Suu Kyi,Politics/Democracy,Enduring oppression for freedom and reform,Peaceful / Resilient / Brave,"The only real prison is fear and the only real freedom is freedom from fear.",#E6E6FA
Shirin Ebadi,Law/Human Rights,Defending justice under oppressive regimes,Brave / Honest / Compassionate,"Human rights is a universal standard. It is a component of every religion and every civilization.",#E6E6FA
Amal Clooney,Law/Advocacy,Protecting human rights through international law,Eloquent / Intelligent / Principled,"Courage is contagious — when a brave person takes a stand others are emboldened to do the same.",#E6E6FA
Christine Lagarde,Politics/Economics,Leading global financial reform,Poised / Intelligent / Composed,"We have to take risks — otherwise we will be stuck in the status quo.",#E6E6FA
Ngozi Okonjo Iweala,Politics/Economics,Promoting equitable global development,Practical / Visionary / Confident,"We need to tell our own stories. We cannot depend on others to do it for us.",#E6E6FA
Katherine Graham,Politics/Media,Standing for truth in journalism,Strong / Ethical / Fearless,"To love what you do and feel that it matters — how could anything be more fun?",#E6E6FA
Nellie Bly,Activism/Journalism,Exposing corruption and injustice,Curious / Daring / Bold,"Energy rightly applied and directed will accomplish anything.",#E6E6FA
Tarana Burke,Activism/Empowerment,Creating movements for survivors and equality,Empathetic / Grounded / Brave,"You don’t have to be ready to change the world you just have to be brave enough to try.",#E6E6FA
Patricia Scotland,Law/Leadership,Reforming legal systems and empowering communities,Wise / Humble / Just,"We must move from words to deeds in achieving equality and justice.",#E6E6FA
Madeleine Albright,Politics/Diplomacy,Shaping global peace through leadership,Wise / Assertive / Pragmatic,"There is a special place in hell for women who don’t help other women.",#E6E6FA
Wangari Maathai,Activism/Environment,Protecting nature and women’s rights,Passionate / Visionary / Kind,"It’s the little things citizens do. That’s what will make the difference.",#E6E6FA
Ellen Johnson Sirleaf,Politics/Reform,Rebuilding a war-torn nation with integrity,Resilient / Compassionate / Visionary,"The size of your dreams must always exceed your current capacity to achieve them.",#E6E6FA
Frida Kahlo,Art/Expression,Transforming pain into creative power,Passionate / Bold / Authentic,"I paint flowers so they will not die.",#E6E6FA
Maya Angelou,Literature/Poetry,Turning trauma into voice and empowerment,Wise / Resilient / Inspiring,"I rise I rise I rise.",#E6E6FA
Toni Morrison,Literature/Storytelling,Reclaiming Black identity through words,Powerful / Honest / Compassionate,"If there’s a book that you want to read but it hasn’t been written yet then you must write it.",#E6E6FA
Chimamanda Ngozi Adichie,Literature/Feminism,Amplifying African and feminist narratives,Articulate / Fearless / Visionary,"We teach girls to shrink themselves to make themselves smaller. We say to girls You can have ambition but not too much.",#E6E6FA
Yayoi Kusama,Art/Avant-garde,Turning mental struggles into creative infinity,Innovative / Courageous / Dreamy,"I would like to live in my own way and I would like to create my own universe.",#E6E6FA
Misty Copeland,Dance/Ballet,Breaking racial barriers in classical ballet,Graceful / Strong / Dedicated,"You can start late look different be uncertain and still succeed.",#E6E6FA
Serena Williams,Sports/Tennis,Redefining power and persistence in athletics,Powerful / Focused / Confident,"Every woman’s success should be an inspiration to another. We’re strongest when we cheer each other on.",#E6E6FA
Simone Biles,Sports/Gymnastics,Overcoming mental and physical pressure,Disciplined / Brave / Resilient,"I’m not the next Usain Bolt or Michael Phelps. I’m the first Simone Biles.",#E6E6FA
Naomi Osaka,Sports/Tennis,Standing up for mental health and equality,Calm / Honest / Brave,"It’s O.K. to not be O.K.",#E6E6FA
Beyoncé,Music/Empowerment,Redefining performance and representation,Creative / Powerful / Ambitious,"Power is not given to you. You have to take it.",#E6E6FA
Adele,Music/Emotion,Turning vulnerability into strength through music,Authentic / Emotional / Relatable,"I have insecurities of course but I don’t hang out with anyone who points them out.",#E6E6FA
Rihanna,Music/Entrepreneurship,Building empire through creativity and courage,Independent / Fearless / Visionary,"There’s something special about a woman who dominates in a man’s world.",#E6E6FA
Dolores Huerta,Activism/Labor Rights,Organizing for farmworkers’ dignity,Brave / Compassionate / Tireless,"Sí se puede — yes we can.",#E6E6FA
Zaha Hadid,Architecture/Design,Redefining space and structure globally,Innovative / Bold / Visionary,"There are 360 degrees so why stick to one?",#E6E6FA
Martha Stewart,Culinary/Entrepreneurship,Transforming domestic craft into business art,Disciplined / Creative / Sharp,"My mission in life is to entertain people with good food and good living.",#E6E6FA
Julia Child,Culinary/Innovation,Revolutionizing home cooking with humor and passion,Curious / Joyful / Skilled,"Find something you’re passionate about and keep tremendously interested in it.",#E6E6FA
Yoko Ono,Music/Art,Blending activism with experimental expression,Unique / Visionary / Bold,"A dream you dream alone is only a dream. A dream you dream together is reality.",#E6E6FA
Lata Mangeshkar,Music/Culture,Becoming the voice of generations,Melodious / Devoted / Timeless,"Music is the voice of the soul it speaks when words fail.",#E6E6FA
M.S. Subbulakshmi,Music/Classical,Bringing Indian classical music to global recognition,Graceful / Dedicated / Inspiring,"When music fills the heart words are unnecessary.",#E6E6FA
Mary Kom,Sports/Boxing,Defying stereotypes in combat sports,Tenacious / Humble / Fearless,"Don’t let anyone tell you you’re weak because you’re a woman.",#E6E6FA
Bilqis Abdul Qadir,Sports/Basketball,Challenging dress code barriers in sports,Strong / Determined / Faith-driven,"Play your heart out even if the world questions your right to.",#E6E6FA
Indra Nooyi,Business/Leadership,Redefining success through empathy and strategy,Visionary / Grounded / Strategic,"Leadership is hard to define and good leadership even harder. But if you can get people to follow you to the ends of the earth you are a great leader.",#E6E6FA
Coco Chanel,Fashion/Design,Revolutionizing women’s fashion and independence,Chic / Bold / Innovative,"The most courageous act is still to think for yourself. Aloud.",#E6E6FA
Vivienne Westwood,Fashion/Rebellion,Defying convention through punk fashion,Rebellious / Daring / Original,"You have a more interesting life if you wear impressive clothes.",#E6E6FA
Iris Apfel,Fashion/Individuality,Embracing aging with style and wit,Eccentric / Vibrant / Authentic,"More is more and less is a bore.",#E6E6FA
Jane Goodall,Science/Conservation,Studying and protecting wildlife with empathy,Curious / Compassionate / Patient,"What you do makes a difference and you have to decide what kind of difference you want to make.",#E6E6FA
Valentina Tereshkova,Science/Space,Becoming the first woman in space,Brave / Determined / Visionary,"Once you’ve been in space you appreciate how small and fragile the Earth is.",#E6E6FA
Junko Tabei,Exploration/Mountaineering,Becoming the first woman to climb Everest,Adventurous / Humble / Persistent,"Do not give up. Keep on your quest.",#E6E6FA
Greta Garbo,Film/Cinema,Maintaining mystery and control in a male-driven industry,Reserved / Strong / Enigmatic,"I want to be alone.",#E6E6FA
Audrey Hepburn,Film/Humanitarianism,Combining elegance with humanitarian service,Graceful / Kind / Inspiring,"As you grow older you will discover that you have two hands one for helping yourself the other for helping others.",#E6E6FA